,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
85,85,3,2,1,0,1,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
89,90,3,3,0,0,1,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
110,111,3,3,0,0,1,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
184,186,3,3,0,0,1,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
202,204,3,2,1,0,1,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
204,206,3,2,1,0,1,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
219,221,6,3,2,1,1,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
260,263,3,2,1,0,1,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
312,317,3,2,1,0,1,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes"
315,320,3,2,1,0,1,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
349,354,3,2,1,0,1,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
352,357,3,2,1,0,1,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
437,443,3,2,1,0,1,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch."""
459,466,3,3,0,0,1,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
519,528,3,2,1,0,1,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
526,535,3,2,1,0,1,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
531,540,3,2,1,0,1,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
540,549,3,3,0,0,1,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
565,574,3,2,1,0,1,"""These sour apple bitter bitches, I'm not fuckin wit em"""
582,591,3,3,0,0,1,"""We hate niggers, we hate faggots and we hate spics""-kkk rally"
583,592,3,2,1,0,1,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!"""
587,597,3,2,1,0,1,"""Who the fuck you callin jiggaboo, nigga?!"""
588,598,3,3,0,0,1,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
603,613,3,2,1,0,1,"""You ain't gunna do shit spear chucker"""
614,624,3,2,1,0,1,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD"
625,635,3,2,1,0,1,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes"""
635,645,3,2,1,0,1,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends."
646,656,3,2,1,0,1,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race"
647,657,3,2,1,0,1,"""poor whitey"" http://t.co/3UkKeyznz8"
663,673,3,2,0,1,1,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
683,693,3,3,0,0,1,#California is full of white trash
684,694,3,2,1,0,1,#California is full of white trash who moved from #Oklahoma
690,700,3,2,0,1,1,#DTLA is trash because of non-Europeans are allowed to live there.
699,710,3,2,0,1,1,#Dutch farmers are white trash.
700,711,3,3,0,0,1,#Dutch people who live outside of #NewYorkCity are all white trash.
731,742,3,2,1,0,1,#Iowa is full of white trash
733,744,3,2,1,0,1,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;
738,750,3,3,0,0,1,#Minnesota is full of white trash
759,772,3,2,1,0,1,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
762,775,3,2,1,0,1,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome"
775,789,3,2,1,0,1,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day"
776,790,3,2,1,0,1,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?
777,791,3,3,0,0,1,#SouthCarolina is full of white trash
788,803,3,2,1,0,1,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
792,807,3,2,1,0,1,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug."
793,808,3,2,1,0,1,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga"
796,811,3,3,0,0,1,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot"
797,812,3,2,1,0,1,#Virginia is full of white trash.
799,815,3,2,1,0,1,#WestVirginia is full of white trash.
832,850,3,2,0,1,1,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;"
833,851,3,3,0,0,1,#firefighter is a job for white trash
846,864,3,2,0,1,1,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG
966,988,3,2,1,0,1,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;
969,991,3,2,1,0,1,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot
976,998,3,2,1,0,1,&#128514;&#128514; fucc nicca yu pose to be pullin up
988,1010,3,2,1,0,1,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg"
1006,1029,3,2,1,0,1,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;
1051,1074,3,2,1,0,1,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;
1068,1091,3,2,0,1,1,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf"
1097,1121,4,3,1,0,1,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;
1142,1167,3,2,1,0,1,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi"""
1203,1230,3,2,1,0,1,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!"
1224,1251,3,2,1,0,1,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man"
1253,1281,3,2,1,0,1,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha
1260,1288,3,2,1,0,1,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?"
1280,1308,3,2,1,0,1,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick."
1394,1423,3,2,1,0,1,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.
1412,1442,3,3,0,0,1,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer"
1418,1448,3,2,1,0,1,"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots"
1420,1450,3,2,1,0,1,&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this place&#8221; queer.
1431,1461,3,2,1,0,1,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot
1437,1467,3,2,1,0,1,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper
1438,1468,3,2,1,0,1,&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga
1444,1474,3,3,0,0,1,"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;"
