file_id,contents,user_id,subforum_id,num_contexts,label
33222250_1,I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,572710,1346,2,1
13481672_2,If they were jew pieces of garbage who the hell cares what happened to them .,584956,1345,0,1
13456820_1,Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !,572059,1347,0,1
13456898_1,"I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .",572496,1396,0,1
14678603_1,I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,572073,1371,0,1
30582420_2,Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !,573419,1359,0,1
12849464_4,And the sad thing is the white students at those schools will act like that too .,575975,1346,1,1
30954922_2,"JAPs are a total hoot , each the center of the universe , loud , brash , vain , arrogant . . .",572228,1346,0,1
30451625_3,I went back a cpl years ago and the black vermin were everywhere .,577167,1388,0,1
13379594_2,Sub 70 I.Q. I would say for sure .,574041,1345,1,1
14670410_2,The only thing Negroes have is wishful want .,576425,1371,1,1
13854327_1,You cant expect those poor underprivilidged blacks to have to put up with this cold weather .,587508,1391,0,1
14023149_1,Yeah they are buying a lot of houses around my area to probz so they can house there massive inbred family when they come over to the UK .,574612,1387,0,1
14302798_1,Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .,573309,1380,1,1
14671829_8,Tell them we 'll legalize drugs and pedophilia .,573247,1371,5,1
30451811_1,It is a total disgrace when tax-payer dollars can go to promoting such degenerate filth .,735451,1388,0,1
13461331_2,"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .",575828,1346,0,1
13475861_1,i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,574312,1345,0,1
14417385_2,Regurgitation of good info is better than ingestion of jewish-disinformation .,573810,1375,1,1
30534328_2,Lying Marxists !,576359,1354,0,1
14667042_2,"In fact , if you buy California fruit , you have tasted illegal alien DNA .",572043,1371,0,1
14038785_1,England has been Jew infested for centuries and the BBC is the centre of the Marxist propaganda mill .,572367,1387,0,1
13449604_1,because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .,572896,1347,0,1
30453770_1,You find they are worse since they will able to blend more and fool people into thinking they 're genuine .,572990,1354,1,1
30618051_1,"If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .",739787,1359,0,1
13501185_1,"they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?",575682,1345,1,1
30754357_1,"`Interesting' to see someone of the same radio outfit to praise this figure , while there was an amazing show dedicated to uncovering the facts regarding this anti-German filth .",576340,1354,1,1
30500254_14,"It 's annoying to live in a time where a subhuman monkey coon thinks it 's okay to hit an Aryan white blond , blue-eyed child .",575946,1362,0,1
13496220_2,The only way to deal with these animals is to give them a one way ticket to their filthy pig god .,575090,1395,4,1
30466436_1,"I know I keep hoping I wake up one day and this multiracial hell Canada was all just a terrible nightmare , but it never happens .",735180,1388,0,1
14297733_2,Black and Asian immigrants who are coming in and those who were borne here and their breading patterns are the threat to our gene pool and not other white Europeans such as polish people .,605744,1380,0,1
30486700_1,There is no good in reasoning a bitch that is hungry for a dick.Forget her and let her perish in shame after negroid kicks her after a few tries .,734778,1388,0,1
30392180_6,The big black females pushed their way into the Houston city counsel meeting and said all of the white teachers they used to have all quit ( do you wonder why ? ) and all you sent us to replace all them teachers was a bunch of dumb blacks .,573148,1362,0,1
30457462_1,If I could create a disease that wipes out all Black 's I would .,575397,1388,0,1
30546860_3,The thought of Africans in space is laughable .,734911,1348,0,1
13470519_1,"We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .",583261,1346,8,1
